match_id,team_1,team_2,match_date,season_id,venue_id,toss_winner,toss_decide,win_type,win_margin,match_winner,man_of_the_match
335987,2,1,18-Apr-08,1,1,2,1,1,140,1,2
335988,4,3,19-Apr-08,1,2,3,2,1,33,3,19
335989,6,5,19-Apr-08,1,3,5,2,2,9,6,90
335990,7,2,20-Apr-08,1,4,7,2,2,5,2,11
335991,1,8,20-Apr-08,1,5,8,2,2,5,1,4
335992,5,4,21-Apr-08,1,6,4,2,2,6,5,32
335993,8,6,22-Apr-08,1,7,8,2,2,9,6,41
335994,3,7,23-Apr-08,1,8,7,1,1,6,3,18
335995,8,5,24-Apr-08,1,7,5,1,2,3,5,31
335996,4,7,25-Apr-08,1,2,7,1,1,66,4,26
335997,2,5,26-Apr-08,1,1,5,1,2,7,5,32
335998,3,1,26-Apr-08,1,8,1,2,2,9,3,22
335999,7,8,27-Apr-08,1,9,8,1,2,10,8,53
336000,4,6,27-Apr-08,1,2,6,2,2,4,4,28
336001,2,3,28-Apr-08,1,1,3,2,1,13,3,20
336002,1,7,29-Apr-08,1,5,1,2,2,7,7,44
336003,6,2,30-Apr-08,1,3,2,1,1,10,6,118
336004,8,4,1-May-08,1,7,4,1,2,7,4,100
336005,5,1,1-May-08,1,6,5,2,1,45,5,101
336006,3,6,2-May-08,1,8,3,2,2,8,6,41
336007,8,2,25-May-08,1,7,8,2,2,5,2,81
336008,4,1,3-May-08,1,2,4,2,1,9,4,29
336009,7,6,4-May-08,1,9,6,1,1,29,7,49
336010,5,3,4-May-08,1,6,3,2,2,8,5,102
336011,2,4,5-May-08,1,1,4,1,2,6,4,77
336012,3,8,6-May-08,1,8,8,1,2,7,8,53
336013,7,5,7-May-08,1,9,7,1,2,7,7,73
336014,6,3,8-May-08,1,3,3,1,2,4,3,20
336015,1,2,8-May-08,1,5,1,2,1,5,1,1
336016,5,8,9-May-08,1,6,5,1,2,8,5,31
336017,2,7,28-May-08,1,1,7,1,2,9,7,149
336018,3,4,10-May-08,1,8,4,1,1,18,3,151
336019,8,1,11-May-08,1,7,1,2,1,23,1,1
336020,5,6,11-May-08,1,6,5,1,2,3,5,32
336021,4,2,12-May-08,1,2,2,2,2,9,4,100
336022,1,6,13-May-08,1,5,1,2,1,23,1,144
336023,7,3,14-May-08,1,4,7,1,2,9,7,44
336024,4,5,28-May-08,1,2,5,1,1,41,4,100
336025,6,8,15-May-08,1,3,8,1,1,12,6,136
336026,7,1,16-May-08,1,4,7,1,2,8,7,49
336027,6,4,17-May-08,1,3,6,2,1,6,4,64
336028,5,2,17-May-08,1,6,2,1,1,65,5,74
