id,name,dob,batting_hand_id,bowling_skill_id,country_id
1,SC Ganguly,8-Jul-72,1,1,1
2,BB McCullum,27-Sep-81,2,1,4
3,RT Ponting,19-Dec-74,2,1,5
4,DJ Hussey,15-Jul-77,2,2,5
5,Mohammad Hafeez,17-Oct-80,2,2,6
6,R Dravid,11-Jan-73,2,2,1
7,W Jaffer,16-Feb-78,2,2,1
8,V Kohli,5-Nov-88,2,1,1
9,JH Kallis,16-Oct-75,2,3,2
10,CL White,18-Aug-83,2,4,5
11,MV Boucher,3-Dec-76,2,1,2
12,B Akhil,7-Oct-77,2,5,1
13,AA Noffke,30-Apr-77,2,3,5
14,P Kumar,2-Oct-86,2,1,1
15,Z Khan,7-Oct-78,2,6,1
16,SB Joshi,6-Jun-70,1,7,1
17,PA Patel,9-Mar-85,1,,1
18,ML Hayden,29-Oct-71,1,1,5
19,MEK Hussey,27-May-75,1,1,5
20,MS Dhoni,7-Jul-81,2,1,1
21,SK Raina,27-Nov-86,1,2,1
22,JDP Oram,28-Jul-78,1,3,4
23,S Badrinath,30-Aug-80,2,2,1
24,K Goel,24-Dec-86,1,2,1
25,JR Hopes,24-Oct-78,2,1,5
26,KC Sangakkara,27-Oct-77,1,2,7
27,Yuvraj Singh,12-Dec-81,1,7,1
28,SM Katich,21-Aug-75,1,8,5
29,IK Pathan,27-Oct-84,1,9,1
30,T Kohli,17-Dec-88,2,1,1
31,YK Pathan,17-Nov-82,2,2,1
32,SR Watson,17-Jun-81,2,3,5
33,M Kaif,1-Dec-80,2,2,1
34,DS Lehmann,5-Feb-70,1,7,5
35,RA Jadeja,6-Dec-88,1,7,1
36,M Rawat,25-Oct-85,2,,1
37,D Salunkhe,12-Nov-82,2,10,1
38,SK Warne,13-Sep-69,2,4,5
39,SK Trivedi,4-Sep-82,2,1,1
40,G Gambhir,14-Oct-81,1,10,1
41,V Sehwag,20-Oct-78,2,2,1
42,S Dhawan,5-Dec-85,1,2,1
43,L Ronchi,23-Apr-81,2,,5
44,ST Jayasuriya,30-Jun-69,1,7,7
45,DJ Thornely,1-Oct-78,2,1,5
46,RV Uthappa,11-Nov-85,2,1,1
47,PR Shah,3-Nov-87,2,,1
48,AM Nayar,8-Oct-83,1,1,1
49,SM Pollock,16-Jul-73,2,3,2
50,Harbhajan Singh,3-Jul-80,2,2,1
51,S Chanderpaul,16-Aug-74,1,10,8
52,LRPL Taylor,8-Mar-84,2,2,4
53,AC Gilchrist,14-Nov-71,1,2,5
54,Y Venugopal Rao,26-Feb-82,2,2,1
55,VVS Laxman,1-Nov-74,2,2,1
56,A Symonds,9-Jun-75,2,2,5
57,RG Sharma,30-Apr-87,2,2,1
58,SB Styris,10-Jul-75,2,1,4
59,SB Bangar,11-Oct-72,2,5,1
60,WPUJC Vaas,27-Jan-74,1,6,7
61,RP Singh,6-Dec-85,2,6,1
62,WP Saha,24-Oct-84,2,,1
63,LR Shukla,6-May-81,2,1,1
64,DPMD Jayawardene,27-May-77,2,1,7
65,S Sohal,10-Nov-87,2,10,1
66,B Lee,8-Nov-76,2,11,5
67,PP Chawla,24-Dec-88,1,10,1
68,WA Mota,20-Sep-81,2,1,1
69,Kamran Akmal,13-Jan-82,2,,6
70,Shahid Afridi,1-Mar-80,2,4,6
71,DJ Bravo,7-Oct-83,2,5,8
72,MA Khote,22-Apr-80,2,1,1
73,A Nehra,29-Apr-79,2,9,1
74,GC Smith,1-Feb-81,1,2,2
75,Pankaj Singh,6-May-85,2,5,1
76,RR Sarwan,23-Jun-80,2,10,8
77,S Sreesanth,6-Feb-83,2,3,1
78,VRV Singh,17-Sep-84,2,5,1
79,SS Tiwary,30-Dec-89,1,,1
80,DS Kulkarni,10-Dec-88,2,1,1
81,R Vinay Kumar,12-Feb-84,2,1,1
82,AB Agarkar,4-Dec-77,2,11,1
83,M Kartik,11-Sep-76,1,7,1
84,I Sharma,2-Sep-88,2,3,1
85,AM Rahane,6-Jun-88,2,1,1
86,Shoaib Malik,1-Feb-82,2,2,6
87,MK Tiwary,14-Nov-85,2,4,1
88,KD Karthik,1-Jun-85,2,,1
89,R Bhatia,22-Oct-79,2,5,1
90,MF Maharoof,7-Sep-84,2,3,1
91,VY Mahesh,21-Dec-87,2,5,1
92,TM Srivastava,7-Nov-89,1,1,1
93,B Chipli,27-Jan-83,2,1,1
94,DW Steyn,27-Jun-83,2,11,2
95,DB Das,22-Sep-86,2,4,1
96,MK Pandey,10-Sep-89,2,1,1
97,HH Gibbs,23-Feb-74,2,12,2
98,DNT Zoysa,13-May-78,1,6,7
99,D Kalyankrishna,16-Dec-83,2,5,1
100,SE Marsh,9-Jul-83,1,7,5
101,SA Asnodkar,29-Mar-84,2,2,1
102,Sohail Tanvir,12-Dec-84,1,9,6
103,Salman Butt,7-Oct-84,1,2,6
104,BJ Hodge,29-Dec-74,2,2,5
105,Umar Gul,14-Apr-84,2,3,6
106,AB Dinda,25-Mar-84,2,5,1
107,SP Fleming,1-Apr-73,1,,4
108,S Vidyut,3-Dec-81,1,7,1
109,JA Morkel,10-Jun-81,1,5,2
110,AB de Villiers,17-Feb-84,2,1,2
111,LPC Silva,14-Dec-79,2,10,7
112,DB Ravi Teja,5-Sep-87,2,4,1
113,Misbah-ul-Haq,28-May-74,2,10,6
114,YV Takawale,5-Nov-84,2,,1
115,RR Raje,3-Sep-86,2,3,1
116,PJ Sangwan,5-Nov-90,2,13,1
117,Mohammad Asif,20-Dec-82,1,3,6
118,GD McGrath,9-Feb-70,2,3,5
119,Joginder Sharma,23-Oct-83,2,3,1
120,MS Gony,4-Jan-84,2,1,1
121,M Muralitharan,17-Apr-72,2,2,7
122,M Ntini,6-Jul-77,2,11,2
123,DT Patil,6-Dec-84,2,,1
124,A Kumble,17-Oct-70,2,4,1
125,S Anirudha,14-Apr-87,2,,1
126,MM Patel,12-Jul-83,2,5,1
127,CK Kapugedera,24-Feb-87,2,1,7
128,A Chopra,19-Sep-77,2,2,1
129,T Taibu,14-May-83,2,1,9
130,J Arunkumar,18-Jan-75,2,2,1
131,PP Ojha,5-Sep-86,1,7,1
132,SP Goswami,18-May-89,1,,1
133,SR Tendulkar,24-Apr-73,2,2,1
134,U Kaul,2-Dec-87,1,,1
135,TM Dilshan,14-Oct-76,2,2,7
136,A Mishra,24-Nov-82,2,10,1
137,AD Mascarenhas,30-Oct-77,2,3,10
138,NK Patel,26-Mar-81,1,,1
139,LA Pomersbach,28-Sep-84,1,2,5
140,Iqbal Abdulla,2-Dec-89,1,7,1
141,Younis Khan,29-Nov-77,2,1,6
142,PM Sarvesh Kumar,26-Apr-89,2,1,1
143,DP Vijaykumar,20-Oct-86,2,1,1
144,Shoaib Akhtar,13-Aug-75,2,11,6
145,Abdur Razzak,15-Jun-82,1,7,11
146,H Das,10-Dec-86,2,,1
147,DR Smith,12-Apr-83,2,1,8
148,SD Chitnis,6-May-87,2,2,1
149,CRD Fernando,19-Jul-79,2,3,7
150,VS Yeligati,23-Apr-85,2,2,1
151,L Balaji,27-Sep-81,2,5,1
152,A Mukund,6-Jan-90,1,4,1
153,RR Powar,20-May-78,2,2,1
154,JP Duminy,14-Apr-84,1,2,2
155,A Flintoff,6-Dec-77,2,3,10
156,T Thushara,1-Mar-81,1,6,7
157,JD Ryder,6-Aug-84,1,1,4
158,KP Pietersen,27-Jun-80,2,2,2
159,T Henderson,1-Aug-74,2,3,2
160,Kamran Khan,10-Mar-91,1,9,1
161,RS Bopara,4-May-85,2,1,10
162,CH Gayle,21-Sep-79,1,2,8
163,MC Henriques,1-Feb-87,2,3,5
164,R Bishnoi,8-Oct-87,2,5,1
165,FH Edwards,6-Feb-82,2,11,8
166,KV Sharma,23-Oct-87,1,4,1
167,PC Valthaty,7-Dec-83,2,1,1
168,RJ Quiney,20-Aug-82,1,1,5
169,AS Raut,3-Mar-87,2,4,1
170,Yashpal Singh,27-Nov-81,2,1,1
171,M Manhas,12-Oct-79,2,2,1
172,AA Bilakhia,31-May-86,2,1,1
173,AN Ghosh,19-Oct-86,2,1,1
174,BAW Mendis,11-Mar-85,2,2,7
175,DL Vettori,27-Jan-79,1,7,4
176,MN van Wyk,20-Mar-79,2,7,2
177,RE van der Merwe,31-Dec-84,2,7,2
178,TL Suman,15-Dec-83,2,2,1
179,Shoaib Ahmed,17-Aug-90,2,3,6
180,GR Napier,6-Jan-80,2,1,10
181,KP Appanna,20-Dec-88,2,7,1
182,LA Carseldine,17-Nov-75,1,13,5
183,NV Ojha,20-Jul-83,2,,1
184,SM Harwood,1-Mar-74,2,3,5
185,M Vijay,1-Apr-84,2,2,1
186,SB Jakati,27-Nov-80,1,7,1
187,DA Warner,27-Oct-86,1,10,5
188,RJ Harris,11-Oct-79,2,11,5
189,D du Preez,8-Nov-81,2,3,2
190,M Morkel,6-Oct-84,1,11,2
191,AD Mathews,2-Jun-87,2,3,7
192,J Botha,2-May-82,2,2,2
193,C Nanda,29-Mar-79,2,10,1
194,SL Malinga,28-Aug-83,2,11,7
195,Mashrafe Mortaza,5-Oct-83,2,3,11
196,A Singh,21-Jun-81,2,5,1
197,GJ Bailey,7-Sep-82,2,1,5
198,AB McDonald,5-Jun-81,2,3,5
199,Y Nagar,6-Jan-90,2,2,1
200,SS Shaikh,18-Jan-87,2,1,1
201,R Ashwin,17-Sep-86,2,2,1
202,Mohammad Ashraful,7-Jul-84,2,2,11
203,CA Pujara,25-Jan-88,2,10,1
204,OA Shah,22-Oct-78,2,2,10
205,Anirudh Singh,2-Aug-80,1,1,1
206,Jaskaran Singh,4-Sep-89,2,1,1
207,AP Tare,7-Nov-87,2,,1
208,AT Rayudu,23-Sep-85,2,2,1
209,R Sathish,14-Jan-81,2,1,1
210,R McLaren,9-Feb-83,1,5,2
211,AA Jhunjhunwala,1-Dec-82,2,2,1
212,P Dogra,19-Nov-84,2,10,1
213,A Uniyal,21-Nov-81,1,13,1
214,MS Bisla,27-Dec-84,2,,1
215,YA Abdulla,17-Jan-83,1,6,1
216,EJG Morgan,10-Sep-86,1,1,10
217,JM Kemp,2-Oct-77,2,3,2
218,S Tyagi,17-Sep-87,2,1,1
219,RS Gavaskar,20-Feb-76,1,7,1
220,SE Bond,7-Jun-75,2,11,4
221,KA Pollard,12-May-87,2,5,8
222,S Ladda,10-Jul-86,2,10,1
223,DP Nannes,16-May-76,2,14,5
224,MJ Lumb,12-Feb-80,1,1,10
225,DR Martyn,21-Oct-71,2,1,5
226,S Narwal,16-Apr-82,1,1,1
227,AB Barath,14-Apr-90,2,2,1
228,Bipul Sharma,28-Sep-83,1,7,1
229,FY Fazal,7-Sep-85,1,1,1
230,AC Voges,4-Oct-79,2,7,5
231,MD Mishra,9-Feb-84,2,2,1
232,UT Yadav,25-Oct-87,2,3,1
233,J Theron,24-Jul-85,2,5,2
234,SJ Srivastava,22-Sep-81,2,6,1
235,R Sharma,30-Apr-87,2,2,1
236,Mandeep Singh,18-Dec-91,2,1,1
237,KM Jadhav,26-Mar-85,2,2,1
238,SW Tait,22-Feb-83,2,11,5
239,KB Arun Karthik,15-Feb-86,2,4,1
240,KAJ Roach,30-Jun-88,2,11,8
241,PD Collingwood,26-May-76,2,1,10
242,CK Langeveldt,17-Dec-74,2,3,10
243,VS Malik,9-May-83,2,1,1
244,A Mithun,25-Oct-89,2,1,1
245,AP Dole,9-Oct-87,2,5,1
246,AN Ahmed,5-Nov-88,2,5,1
247,RS Sodhi,18-Oct-80,2,1,1
248,DE Bollinger,24-Jul-81,1,6,5
249,S Sriram,21-Feb-76,1,7,1
250,B Sumanth,10-May-88,2,5,1
251,C Madan,15-Oct-82,2,,1
252,AG Paunikar,18-Apr-88,2,,1
253,MR Marsh,20-Oct-91,2,1,5
254,AJ Finch,17-Nov-86,2,7,5
255,STR Binny,3-Jun-84,2,1,1
256,Harmeet Singh,7-Sep-92,1,7,1
257,IR Jaggi,27-Jan-89,2,4,1
258,DT Christian,4-May-83,2,3,5
259,RV Gomez,16-Oct-85,2,1,1
260,MA Agarwal,16-Feb-91,2,,1
261,AUK Pathan,17-Jun-84,2,1,1
262,UBT Chand,26-Mar-93,2,2,1
263,DJ Jacobs,4-Nov-82,2,1,2
264,Sunny Singh,18-Dec-86,2,5,1
265,NJ Rimmington,11-Nov-82,2,3,5
266,AL Menaria,29-Oct-90,1,7,1
267,WD Parnell,30-Jul-89,1,9,2
268,JJ van der Wath,10-Jan-78,2,5,2
269,R Ninan,19-Nov-85,2,2,1
270,S Aravind,8-Apr-84,1,9,1
271,MS Wade,26-Dec-87,1,1,5
272,TD Paine,8-Dec-84,2,1,5
